"","X1","X2","X3"
"1","vfl",9977825,9977831
"2","Kr",9977799,9977809
"3","Kr",9977764,9977772
"4","hb",9978207,9978216
"5","gt",9978201,9978223
"6","gt",9977932,9977976
"7","gt",9977869,9977894
"8","bcd",9978230,9978243
"9","bcd",9978232,9978242
"10","bcd",9978114,9978122
"11","bcd",9978021,9978029
"12","Kr",9978232,9978242
"13","bcd",9977870,9977878
"14","bcd",9977849,9977857
"15","Kr",9978141,9978186
"16","Kr",9978038,9978047
"17","Kr",9978008,9978017
"18","Kr",9977997,9978005
"19","Kr",9977971,9977979
"20","Kr",9977850,9977859
"21","vfl",9977768,9977774
"22","Kr",9978113,9978133
